application_number,filing_date,invention_subject_matter,application_type,examiner_name_last,examiner_name_first,examiner_name_middle,examiner_id,examiner_art_unit,uspc_class,uspc_subclass,confirm_number,customer_number,atty_docket_number,appl_status_code,appl_status_date,file_location,file_location_date,earliest_pgpub_number,earliest_pgpub_date,wipo_pub_number,wipo_pub_date,patent_number,patent_issue_date,abandon_date,disposal_type,invention_title,small_entity_indicator,aia_first_to_file
PCT/US99/29142,1999-12-07,?,PCT,CAMPEN,KELLY,SCAGGS,86673,3624,128,898000,,None,CIR-001-2PCT,566,08feb2005 00:00:00,9200,2006-03-27,,,200033725,2000-06-15,,,,PEND,METHODS AND APPARATUS FOR TREATING ISCHEMIC HEART DISEASE BY PROVIDING TRANSVENOUS MYOCARDIAL,0,0
PCT/US99/29143,1999-12-07,?,PCT,CHEN,BRET,P,76447,1762,427,569000,,None,3005.MD.L/B,256,10nov2001 00:00:00,9200,2006-03-27,,,200038225,2000-06-29,,,,PEND,IMPROVEMENT IN ADHESION OF DIFFUSION BARRIER AND FLUORINATED SILICON DIOXIDE USING HYDROGEN BASED,0,0
PCT/US99/29144,1999-12-07,?,PCT,None,None,None,,5332,000,000000,,None,15685-28PC,218,12jan2000 18:44:40,9200,2006-03-27,,,200040050,2000-07-06,,,,PEND,PERFORMANCE MONITOR FOR ANTENNA ARRAYS,0,0
PCT/US99/29145,1999-12-07,?,PCT,CABRERA,ZOILA,E,69185,2121,700,056000,,None,17516-27-1PC,256,10nov2001 00:00:00,9200,2006-03-27,,,200033726,2000-06-15,,,,PEND,IMAGE SHIFTING APPARATUS AND METHOD FOR A TELEROBOTIC SYSTEM,0,0
PCT/US99/29146,1999-12-07,?,PCT,BUI,THACH,H,67835,3754,222,494000,,None,53470-7-245,256,10nov2001 00:00:00,9200,2006-03-27,,,200039020,2000-07-06,,,,PEND,POUR FLOW CONTROL DEVICE,0,0
PCT/US99/29147,1999-12-08,?,PCT,WALKER,MISTY,F,86869,5332,000,000000,,None,MEDIDNA.018V,218,12jan2000 18:44:10,9200,2006-03-27,,,200034856,2000-06-15,,,,PEND,SYSTEM AND METHOD FOR CONTROLLING THE USAGE OF DIGITAL OBJECTS,0,0
PCT/US99/29148,1999-12-08,?,PCT,ROLLINS,ROSILAND,STACIE,65971,3739,600,033000,,None,MEDW42.PCT,566,06mar2000 00:00:00,9200,2006-03-27,,,200035363,2000-06-22,,,,PEND,RF-BASED CATHETER SYSTEM AND HOLLOW CO-AXIAL CABLE FOR ABLATION OF BODY TISSUES,0,0
PCT/US99/29149,1999-12-08,?,PCT,MOSHER,MARY,,73788,1648,435,007100,,None,CHMED.001VPC,256,10nov2001 00:00:00,9200,2006-03-27,,,200034484,2000-06-15,,,,PEND,POLYMORPHIC LOCI THAT DIFFERENTIATE ESCHERICHIA COLI 0157:H7 FROM OTHER STRAINS,0,0
PCT/US99/29150,1999-12-08,?,PCT,None,None,None,,5332,000,000000,,None,MEDIDNA.028V,218,12jan2000 18:43:44,9200,2006-03-27,,,200034845,2000-06-15,,,,PEND,A SYSTEM AND METHOD OF OBFUSCATING DATA,0,0
PCT/US99/29151,1999-12-08,?,PCT,None,None,None,,5332,000,000000,,None,33843P/A23,218,12jan2000 18:43:40,9200,2006-03-27,,,200033975,2000-06-15,,,,PEND,EXTRUSION COATING PROCESS FOR MAKING HIGH TRANSPARENCY PROTECTIVE AND DECORATIVE FILMS,0,0
PCT/US99/29152,1999-12-08,?,PCT,TRAN,PHUOC,,77437,2668,382,173000,,None,6565,566,12apr2000 00:00:00,9200,2006-03-27,,,200034913,2000-06-15,,,,PEND,METHOD FOR REJECTION OF FLICKERING LIGHTS IN AN IMAGING SYSTEM,0,0
